Year,Region,Type,Units,AFUE,SEER,Ducted,Refrigerant,Cooling (Btu/hr),Heating (Btu/hr),MotorType,HSPF,FinalEstimate,EER,FuelType
2021,Northeastern,AC,33,,13,0,410,18000,,,,165,,
2021,Northeastern,AC,326,,13,0,410,24000,,,,1631,,
2021,Northeastern,AC,289,,13,0,410,30000,,,,1446,,
2021,Northeastern,AC,31,,13,0,410,42000,,,,155,,
2021,Northeastern,AC,49,,13,0,410,48000,,,,245,,
2021,Northeastern,AC,28,,13,0,410,60000,,,,140,,
2021,Northeastern,AC,2,,14,0,410,18000,,,,10,,
2021,Northeastern,AC,3,,14,0,410,30000,,,,15,,
2021,Northeastern,AC,16,,14,0,410,42000,,,,80,,
2021,Northeastern,AC,20,,14,0,410,48000,,,,100,,
2021,Northeastern,AC,19,,15,0,410,30000,,,,95,,
2021,Northeastern,AC,25,,15,0,410,36000,,,,125,,
2021,Northeastern,AC,3,,16,0,410,18000,,,,15,,
2021,Northeastern,AC,11,,16,0,410,24000,,,,55,,
2021,Northeastern,AC,9,,16,0,410,30000,,,,45,,
2021,Northeastern,AC,61,,16,0,410,48000,,,,305,,
2021,Northeastern,AC,99,,17,0,410,18000,,,,495,,
2021,Northeastern,AC,150,,17,0,410,24000,,,,750,,
2021,Northeastern,AC,3,,17,0,410,30000,,,,15,,
2021,Northeastern,AC,208,,17,0,410,36000,,,,1040,,
2021,Northeastern,AC,37,,18,0,410,18000,,,,185,,
2021,Northeastern,AC,5,,18,0,410,42000,,,,25,,
2021,Northeastern,AC,1,,18,0,410,48000,,,,5,,
2021,Northeastern,AC,2,,18,0,410,60000,,,,10,,
2021,Northeastern,AC,55,,20,0,410,12000,,,,275,,
2021,Northeastern,AC,82,,20,0,410,18000,,,,410,,
2021,Northeastern,AC,94,,20,0,410,24000,,,,470,,
2021,Northeastern,AC,37,,22,0,410,24000,,,,185,,
2021,Northeastern,AC,129,,23,0,410,12000,,,,645,,
2021,Northeastern,AC,618,,13,1,410,18000,,,,3091,,
2021,Northeastern,AC,2112,,13,1,410,24000,,,,10564,,
2021,Northeastern,AC,1842,,13,1,410,30000,,,,9214,,
2021,Northeastern,AC,2471,,13,1,410,36000,,,,12360,,
2021,Northeastern,AC,695,,13,1,410,42000,,,,3476,,
2021,Northeastern,AC,991,,13,1,410,48000,,,,4957,,
2021,Northeastern,AC,590,,13,1,410,60000,,,,2951,,
2021,Northeastern,AC,263,,14,1,410,18000,,,,1316,,
2021,Northeastern,AC,469,,14,1,410,24000,,,,2346,,
2021,Northeastern,AC,572,,14,1,410,30000,,,,2861,,
2021,Northeastern,AC,694,,14,1,410,36000,,,,3471,,
2021,Northeastern,AC,231,,14,1,410,42000,,,,1155,,
2021,Northeastern,AC,211,,14,1,410,48000,,,,1055,,
2021,Northeastern,AC,120,,14,1,410,60000,,,,600,,
2021,Northeastern,AC,118,,15,1,410,18000,,,,590,,
2021,Northeastern,AC,267,,16,1,410,18000,,,,1336,,
2021,Northeastern,AC,726,,16,1,410,24000,,,,3631,,
2021,Northeastern,AC,692,,16,1,410,30000,,,,3461,,
2021,Northeastern,AC,733,,16,1,410,36000,,,,3666,,
2021,Northeastern,AC,276,,16,1,410,42000,,,,1381,,
2021,Northeastern,AC,376,,16,1,410,48000,,,,1881,,
2021,Northeastern,AC,207,,16,1,410,60000,,,,1035,,
2021,Northeastern,AC,7,,17,1,410,24000,,,,35,,
2021,Northeastern,AC,61,,17,1,410,36000,,,,305,,
2021,Northeastern,AC,37,,17,1,410,48000,,,,185,,
2021,Northeastern,AC,5,,17,1,410,60000,,,,25,,
2021,Northeastern,AC,2,,18,1,410,24000,,,,10,,
2021,Northeastern,AC,16,,18,1,410,30000,,,,80,,
2021,Northeastern,AC,28,,18,1,410,36000,,,,140,,
2021,Northeastern,AC,10,,18,1,410,48000,,,,50,,
2021,Northeastern,AC,4,,18,1,410,60000,,,,20,,
2021,Northeastern,AC,0,,19,1,410,24000,,,,0,,
2021,Northeastern,AC,1,,19,1,410,60000,,,,5,,
2021,Northeastern,AC,22,,,1,410,30000,,,,110,,
2021,Northeastern,AC,5,,,1,410,42000,,,,25,,
2021,Northeastern,AC,2,,,1,410,60000,,,,10,,
2018,Northeastern,Furnace,1,83,,,,,60000,PSC,,5.163496292,,Oil
2021,Northeastern,ASHP,1,,13,0,410,24000,,,7.70-8.19,4,9,
2021,Northeastern,ASHP,29,,13,0,410,24000,,,8.50-8.99,110,,
2021,Northeastern,ASHP,1,,14,0,410,18000,,,8.20-8.49,4,12,
